fleet_size,metric,difference,n,mean,standard_deviation,ci95_half_width,ci95_low,ci95_high
500,agent_work_fraction_final,distributed_minus_centralized,5,0.07632088888888888,0.008028349385262925,0.009968512396682314,0.06635237649220657,0.0862894012855712
500,average_completion_time_s,distributed_minus_centralized,5,-87.057083274189,2.8028000935468413,3.4801359703192616,-90.53721924450826,-83.57694730386973
500,completion_rate,distributed_minus_centralized,5,0.15317826983701985,0.014040557124392077,0.017433654296081045,0.1357446155409388,0.1706119241331009
500,full_active_fraction,distributed_minus_centralized,5,0.03456933333333336,0.0008781481637690114,0.0010903649600407265,0.03347896837329264,0.035659698293374086
500,full_idle_fraction,distributed_minus_centralized,5,-0.03456933333333336,0.0008781481637690114,0.0010903649600407265,-0.035659698293374086,-0.03347896837329264
500,full_navigating_fraction,distributed_minus_centralized,5,-0.04168088888888884,0.007277515618687928,0.00903622914009041,-0.05071711802897925,-0.032644659748798426
500,full_working_fraction,distributed_minus_centralized,5,0.0762502222222222,0.008008515313768472,0.009943885144169853,0.06630633707805235,0.08619410736639206
500,latency_p90_s,distributed_minus_centralized,5,-168.98600000000002,2.727504353800369,3.386643961057947,-172.37264396105797,-165.59935603894206
500,post_warmup_active_fraction,distributed_minus_centralized,5,0.014229444444444472,0.0019239751961903208,0.00238893073454655,0.011840513709897922,0.01661837517899102
500,post_warmup_idle_fraction,distributed_minus_centralized,5,-0.014229444444444472,0.0019239751961903208,0.00238893073454655,-0.01661837517899102,-0.011840513709897922
500,post_warmup_navigating_fraction,distributed_minus_centralized,5,-0.07087777777777778,0.010332145615731987,0.012829053235253296,-0.08370683101303107,-0.05804872454252448
500,post_warmup_working_fraction,distributed_minus_centralized,5,0.08510722222222221,0.009818790760891705,0.012191638993694996,0.07291558322852722,0.0972988612159172
500,throughput_tps,distributed_minus_centralized,5,0.7644444444444445,0.0671785900638215,0.08341323673233642,0.6810312077121081,0.8478576811767808
600,agent_work_fraction_final,distributed_minus_centralized,5,0.07254314814814813,0.007405724793848516,0.009195421857126714,0.06334772629102142,0.08173857000527485
600,average_completion_time_s,distributed_minus_centralized,5,-92.42680057870011,6.103500969760571,7.578497417153477,-100.00529799585358,-84.84830316154664
600,completion_rate,distributed_minus_centralized,5,0.1593391088315444,0.01141932044660664,0.014178959082503623,0.14516014974904076,0.17351806791404803
600,full_active_fraction,distributed_minus_centralized,5,0.037785185185185255,0.0036195928406330046,0.004494318118370105,0.03329086706681515,0.04227950330355536
600,full_idle_fraction,distributed_minus_centralized,5,-0.037785185185185255,0.0036195928406330046,0.004494318118370105,-0.04227950330355536,-0.03329086706681515
600,full_navigating_fraction,distributed_minus_centralized,5,-0.034669259259259164,0.007479915104636266,0.00928754129504741,-0.04395680055430658,-0.025381717964211754
600,full_working_fraction,distributed_minus_centralized,5,0.07245444444444445,0.007349075019015426,0.009125081871210115,0.06332936257323434,0.08157952631565456
600,latency_p90_s,distributed_minus_centralized,5,-172.67400000000004,18.0666385916141,22.432694707766032,-195.10669470776605,-150.24130529223402
600,post_warmup_active_fraction,distributed_minus_centralized,5,0.01603055555555566,0.0035209126235988585,0.004371790445543872,0.011658765110011786,0.020402346001099532
600,post_warmup_idle_fraction,distributed_minus_centralized,5,-0.01603055555555566,0.0035209126235988585,0.004371790445543872,-0.020402346001099532,-0.011658765110011786
600,post_warmup_navigating_fraction,distributed_minus_centralized,5,-0.06742499999999987,0.007229997817521059,0.008977227997107703,-0.07640222799710758,-0.05844777200289217
600,post_warmup_working_fraction,distributed_minus_centralized,5,0.08345555555555556,0.007696120204603337,0.009555995383904569,0.07389956017165099,0.09301155093946013
600,throughput_tps,distributed_minus_centralized,5,0.8759999999999998,0.066134916349035,0.08211734465481445,0.7938826553451853,0.9581173446548142
700,agent_work_fraction_final,distributed_minus_centralized,5,0.09211746031746032,0.008821102084655082,0.010952844882996408,0.0811646154344639,0.10307030520045674
700,average_completion_time_s,distributed_minus_centralized,5,-113.60925289692186,6.670138832315624,8.282071251107219,-121.89132414802907,-105.32718164581465
700,completion_rate,distributed_minus_centralized,5,0.22088433044577194,0.024121744335223832,0.02995110151492308,0.19093322893084885,0.250835431960695
700,full_active_fraction,distributed_minus_centralized,5,0.040448253968254064,0.003113296851241557,0.0038656686159077884,0.03658258535234628,0.04431392258416185
700,full_idle_fraction,distributed_minus_centralized,5,-0.040448253968254064,0.003113296851241557,0.0038656686159077884,-0.04431392258416185,-0.03658258535234628
700,full_navigating_fraction,distributed_minus_centralized,5,-0.05161333333333322,0.010775783273851909,0.013379902143588234,-0.06499323547692146,-0.03823343118974498
700,full_working_fraction,distributed_minus_centralized,5,0.09206158730158732,0.008810878588805802,0.010940150736264573,0.08112143656532275,0.1030017380378519
700,latency_p90_s,distributed_minus_centralized,5,-200.15199999999996,13.763223459640589,17.089299069069206,-217.24129906906916,-183.06270093093076
700,post_warmup_active_fraction,distributed_minus_centralized,5,0.017646825396825473,0.003142000243933817,0.003901308585240073,0.0137455168115854,0.021548133982065548
700,post_warmup_idle_fraction,distributed_minus_centralized,5,-0.017646825396825473,0.003142000243933817,0.003901308585240073,-0.021548133982065548,-0.0137455168115854
700,post_warmup_navigating_fraction,distributed_minus_centralized,5,-0.09151626984126977,0.012142235984994407,0.015076577280261804,-0.10659284712153158,-0.07643969256100797
700,post_warmup_working_fraction,distributed_minus_centralized,5,0.10916309523809527,0.010176106867688436,0.01263530553948283,0.09652778969861243,0.1217984007775781
700,throughput_tps,distributed_minus_centralized,5,1.3264444444444448,0.15132011689718491,0.18788874135521993,1.1385557030892248,1.5143331857996647
800,agent_work_fraction_final,distributed_minus_centralized,5,0.10994299999999997,0.0091204258394158,0.011324504413089966,0.09861849558691001,0.12126750441308994
800,average_completion_time_s,distributed_minus_centralized,5,-133.35928561898376,5.317835619669968,6.602965037309818,-139.96225065629358,-126.75632058167395
800,completion_rate,distributed_minus_centralized,5,0.2981114610648571,0.030727639697790333,0.03815340396252312,0.259958057102334,0.3362648650273802
800,full_active_fraction,distributed_minus_centralized,5,0.04253555555555553,0.004543402722052401,0.00564137958931346,0.03689417596624207,0.04817693514486899
800,full_idle_fraction,distributed_minus_centralized,5,-0.04253555555555553,0.004543402722052401,0.00564137958931346,-0.04817693514486899,-0.03689417596624207
800,full_navigating_fraction,distributed_minus_centralized,5,-0.06746611111111114,0.011365564386313882,0.014112212117752833,-0.08157832322886398,-0.05335389899335831
800,full_working_fraction,distributed_minus_centralized,5,0.11000166666666666,0.00918133209230545,0.011400129514568537,0.09860153715209813,0.1214017961812352
800,latency_p90_s,distributed_minus_centralized,5,-231.842,13.799073157281208,17.133812347976058,-248.97581234797607,-214.70818765202395
800,post_warmup_active_fraction,distributed_minus_centralized,5,0.019959375000000133,0.003984017284535348,0.004946810830429072,0.015012564169571061,0.024906185830429205
800,post_warmup_idle_fraction,distributed_minus_centralized,5,-0.019959375000000133,0.003984017284535348,0.004946810830429072,-0.024906185830429205,-0.015012564169571061
