fleet_size,mode,seed,duration_s,warmup_s,step_interval_ms,sample_every_steps,layout_seed,layout_digest,stream_digest,stream_event_count,tasks_created,tasks_completed,tasks_active_end,completion_rate,throughput_tps,average_completion_time_s,latency_p90_s,agent_work_fraction_final,offered_work_fraction_nominal,offered_work_fraction_realized,wall_time_s,full_working_fraction,full_navigating_fraction,full_idle_fraction,full_active_fraction,full_mean_stuck_agents,full_sample_count,post_warmup_working_fraction,post_warmup_navigating_fraction,post_warmup_idle_fraction,post_warmup_active_fraction,post_warmup_mean_stuck_agents,post_warmup_sample_count,completed_nominal_work_fraction,configured_arrival_rate_tps,realized_arrival_rate_tps,arrival_rate_per_robot,tasks_active_end_per_robot,arrival_completion_gap_tps,completed_work_state_fraction,incomplete_task_work_fraction
100,distributed,45,900.0,180.0,100,10,10100,f0a18b46ca8ea54e34bb4236d505214f4ecccc69939e2bca52af0e3580f61353,7f28d42d416170fec8c6c345f0a7e649a542d6c5dda229d6837a69ca6ad72d37,1588,1588,1307,281,0.8230478589420654,1.4522222222222223,124.54804896710024,225.7600000000001,0.673832222222222,0.7875,0.794,182.06904756464064,0.6733999999999999,0.2945111111111114,0.03208888888888872,0.9679111111111113,1.5633333333333332,900,0.7594305555555555,0.2384722222222223,0.002097222222222195,0.9979027777777778,1.7361111111111112,720,0.6535000000000001,1.75,1.7644444444444445,0.0175,2.81,0.3122222222222222,0.6549522222222223,0.018879999999999786
100,centralized,46,900.0,180.0,100,10,10100,f0a18b46ca8ea54e34bb4236d505214f4ecccc69939e2bca52af0e3580f61353,1aca1153e71792a3af63784d5b5b364924cce4914f0c53b069902c0c3815a0a7,1583,1583,1400,183,0.8843967150979154,1.5555555555555556,108.3167142857143,170.81000000000003,0.721368888888889,0.7875,0.7915,6.455078478902578,0.7210888888888889,0.23148888888888897,0.04742222222222214,0.9525777777777779,1.3033333333333332,900,0.8099861111111112,0.1790277777777779,0.010986111111110919,0.9890138888888891,0.9902777777777778,720,0.7,1.75,1.758888888888889,0.0175,1.83,0.20333333333333337,0.7015555555555557,0.01981333333333324
100,distributed,46,900.0,180.0,100,10,10100,f0a18b46ca8ea54e34bb4236d505214f4ecccc69939e2bca52af0e3580f61353,1aca1153e71792a3af63784d5b5b364924cce4914f0c53b069902c0c3815a0a7,1583,1583,1308,275,0.8262792166771952,1.4533333333333334,128.37866972477065,230.82,0.6763066666666667,0.7875,0.7915,177.66097172535956,0.6759222222222221,0.29238888888888903,0.03168888888888888,0.9683111111111111,1.7477777777777779,900,0.7647083333333333,0.23302777777777794,0.002263888888888732,0.9977361111111113,1.8569444444444445,720,0.654,1.75,1.758888888888889,0.0175,2.75,0.3055555555555556,0.6554533333333333,0.02085333333333339
200,centralized,42,900.0,180.0,100,10,10200,94d41374dfb16eeaae2f6253f186e8f71578917bd8273f40bcb287898aabd9da,acd50976db7101fa3fa2d24e858c427e62be6f8c5efb416cf69318e472ca8f32,2655,2655,2294,361,0.864030131826742,2.548888888888889,132.31107236268528,227.27,0.5910822222222223,0.675,0.66375,14.668337551876903,0.5908333333333333,0.35375,0.05541666666666667,0.9445833333333333,4.357777777777778,900,0.6951805555555556,0.29637500000000006,0.008444444444444366,0.9915555555555556,3.4444444444444446,720,0.5735,3.0,2.95,0.015,1.805,0.4011111111111112,0.5747744444444445,0.01630777777777781
200,distributed,42,900.0,180.0,100,10,10200,94d41374dfb16eeaae2f6253f186e8f71578917bd8273f40bcb287898aabd9da,acd50976db7101fa3fa2d24e858c427e62be6f8c5efb416cf69318e472ca8f32,2655,2655,2294,361,0.864030131826742,2.548888888888889,123.437358326068,234.26999999999998,0.5937044444444445,0.675,0.66375,501.5471981689334,0.5935888888888889,0.3679999999999999,0.038411111111111174,0.9615888888888888,4.4255555555555555,900,0.6898958333333333,0.3080347222222223,0.002069444444444457,0.9979305555555555,5.006944444444445,720,0.5735,3.0,2.95,0.015,1.805,0.4011111111111112,0.5747744444444445,0.018930000000000002
200,centralized,43,900.0,180.0,100,10,10200,94d41374dfb16eeaae2f6253f186e8f71578917bd8273f40bcb287898aabd9da,b3e9cbe06d063527e94cef1f9eb229525cbabaaff6f364d1723d55c793be578d,2767,2767,2420,347,0.8745934224792193,2.688888888888889,126.24892561983472,216.13999999999993,0.6239427777777777,0.675,0.69175,14.38046908378601,0.6237166666666667,0.3183944444444444,0.05788888888888888,0.9421111111111111,4.345555555555555,900,0.7266875,0.26387499999999986,0.009437500000000099,0.9905624999999999,3.5555555555555554,720,0.6050000000000001,3.0,3.0744444444444445,0.015,1.735,0.38555555555555543,0.6063444444444446,0.01759833333333316
200,distributed,43,900.0,180.0,100,10,10200,94d41374dfb16eeaae2f6253f186e8f71578917bd8273f40bcb287898aabd9da,b3e9cbe06d063527e94cef1f9eb229525cbabaaff6f364d1723d55c793be578d,2767,2767,2397,370,0.8662811709432598,2.6633333333333336,131.17964121818943,240.9200000000001,0.6197366666666667,0.675,0.69175,685.0191063247621,0.6194222222222222,0.34057222222222217,0.04000555555555563,0.9599944444444444,3.9244444444444446,900,0.7216666666666667,0.27627777777777773,0.0020555555555555882,0.9979444444444444,4.409722222222222,720,0.5992500000000001,3.0,3.0744444444444445,0.015,1.85,0.411111111111111,0.6005816666666667,0.019155000000000033
200,centralized,44,900.0,180.0,100,10,10200,94d41374dfb16eeaae2f6253f186e8f71578917bd8273f40bcb287898aabd9da,fe942716e37a7f28495321431f2cc4b72b0a54399456fde7ad2d254b2bc75790,2759,2759,2336,423,0.8466835810076114,2.5955555555555554,131.08839897260273,227.15000000000006,0.6043211111111111,0.675,0.68975,14.589640248566866,0.6041055555555555,0.3465055555555556,0.04938888888888893,0.9506111111111111,4.64,900,0.6911805555555556,0.3005277777777777,0.008291666666666697,0.9917083333333333,3.8666666666666667,720,0.584,3.0,3.0655555555555556,0.015,2.115,0.4700000000000002,0.5852977777777777,0.019023333333333392
200,distributed,44,900.0,180.0,100,10,10200,94d41374dfb16eeaae2f6253f186e8f71578917bd8273f40bcb287898aabd9da,fe942716e37a7f28495321431f2cc4b72b0a54399456fde7ad2d254b2bc75790,2759,2759,2319,440,0.8405219282348677,2.5766666666666667,133.62285467874085,246.8600000000002,0.6011688888888889,0.675,0.68975,641.9847715906799,0.6007944444444445,0.3621833333333331,0.0370222222222224,0.9629777777777776,4.1755555555555555,900,0.6990694444444444,0.29889583333333336,0.0020347222222222294,0.9979652777777778,4.768055555555556,720,0.57975,3.0,3.0655555555555556,0.015,2.2,0.48888888888888893,0.5810383333333333,0.02013055555555554
200,centralized,45,900.0,180.0,100,10,10200,94d41374dfb16eeaae2f6253f186e8f71578917bd8273f40bcb287898aabd9da,4ca11abe46dba762f082bb726fe2a383e8add2294949a1720dbb64503974c443,2674,2674,2290,384,0.856394913986537,2.5444444444444443,124.41877729257642,210.41000000000003,0.5909838888888889,0.675,0.6685,16.70241662673652,0.5908055555555556,0.35121111111111103,0.05798333333333339,0.9420166666666666,4.737777777777778,900,0.6884166666666667,0.30104861111111103,0.010534722222222292,0.9894652777777777,3.9347222222222222,720,0.5725,3.0,2.971111111111111,0.015,1.92,0.42666666666666675,0.5737722222222222,0.017211666666666625
