fleet_size,mode,metric,n,mean,standard_deviation,ci95_half_width,ci95_low,ci95_high
200,centralized,offered_work_fraction_realized,5,0.6789,0.012489495586291711,0.015507757025223261,0.6633922429747767,0.6944077570252232
200,centralized,post_warmup_active_fraction,5,0.9909472222222222,0.0009408453686531648,0.0011682138221333852,0.9897790084000888,0.9921154360443556
200,centralized,post_warmup_idle_fraction,5,0.009052777777777821,0.0009408453686531648,0.0011682138221333852,0.007884563955644436,0.010220991599911206
200,centralized,post_warmup_navigating_fraction,5,0.29363611111111104,0.017010396892211444,0.021121197416216184,0.27251491369489483,0.31475730852732725
200,centralized,post_warmup_working_fraction,5,0.6973111111111112,0.016834155101182822,0.020902364329316993,0.6764087467817942,0.7182134754404282
200,centralized,tasks_active_end,5,386.8,33.9293383371972,42.12883789617261,344.6711621038274,428.92883789617264
200,centralized,tasks_active_end_per_robot,5,1.934,0.16964669168598612,0.2106441894808632,1.7233558105191367,2.144644189480863
200,centralized,throughput_tps,5,2.5875555555555554,0.06009457566778693,0.0746172710940231,2.5129382844615322,2.6621728266495785
200,distributed,agent_work_fraction_final,5,0.6034242222222223,0.009922669911823763,0.012320621995571308,0.591103600226651,0.6157448442177935
200,distributed,arrival_completion_gap_tps,5,0.4222222222222222,0.04209776980105031,0.05227128516663391,0.3699509370555883,0.47449350738885615
200,distributed,average_completion_time_s,5,128.69627418650197,4.152458176192709,5.155957821425359,123.5403163650766,133.8522320079273
200,distributed,completed_nominal_work_fraction,5,0.5839000000000001,0.0095042753537553,0.011801116535773324,0.5720988834642268,0.5957011165357734
200,distributed,completed_work_state_fraction,5,0.5851975555555555,0.00952539596565251,0.011827341239186122,0.5733702143163694,0.5970248967947417
200,distributed,completion_rate,5,0.8601651503146612,0.012331170797735044,0.015311170835249223,0.844853979479412,0.8754763211499105
200,distributed,full_active_fraction,5,0.961521111111111,0.0011976210988022202,0.0014870430018719526,0.9600340681092391,0.963008154112983
200,distributed,full_idle_fraction,5,0.03847888888888902,0.0011976210988022202,0.0014870430018719526,0.036991845887017066,0.039965931890760975
200,distributed,full_navigating_fraction,5,0.3583855555555554,0.010543619420949635,0.013091632645755205,0.3452939229098002,0.3714771882013106
200,distributed,full_working_fraction,5,0.6031355555555555,0.00988789055509967,0.012277437720446316,0.5908581178351092,0.6154129932760019
200,distributed,incomplete_task_work_fraction,5,0.018226666666666703,0.0027388948613863142,0.0034007871442486817,0.014825879522418022,0.021627453810915385
200,distributed,latency_p90_s,5,239.82000000000016,4.700707393573939,5.836699136691023,233.98330086330915,245.65669913669117
200,distributed,offered_work_fraction_nominal,5,0.675,0.0,0.0,0.675,0.675
200,distributed,offered_work_fraction_realized,5,0.6789,0.012489495586291711,0.015507757025223261,0.6633922429747767,0.6944077570252232
200,distributed,post_warmup_active_fraction,5,0.9979277777777777,2.9707291161382322e-05,3.6886473919245385e-05,0.9978908913038586,0.9979646642516969
200,distributed,post_warmup_idle_fraction,5,0.002072222222222231,2.9707291161382322e-05,3.6886473919245385e-05,0.0020353357483029856,0.0021091086961414762
200,distributed,post_warmup_navigating_fraction,5,0.29570694444444445,0.0120862039613763,0.015007004333788699,0.28069994011065574,0.31071394877823316
200,distributed,post_warmup_working_fraction,5,0.7022208333333333,0.01209020637862639,0.015011973991193923,0.6872088593421394,0.7172328073245272
200,distributed,tasks_active_end,5,380.0,37.887992820945264,47.0441566499705,332.9558433500295,427.0441566499705
